algorithm,FOV,noise,epsilon,scene,userIdx,psnr_mean,psnr_lb,psnr_ub,ssim_mean,ssim_lb,ssim_ub,vmaf_mean,vmaf_lb,vmaf_ub
Disturber,115,6,33.333333333333336,Office,2,19.823231901999964,19.713977800682912,19.932486003317017,0.42572362200000047,0.4179384736758399,0.433508770324161,5.260656146000002,4.9493348341116175,5.571977457888387
Disturber,115,6,33.333333333333336,Office,3,18.918277773999986,18.824379105566862,19.01217644243311,0.34602096800000015,0.33971813591153727,0.35232380008846303,8.106529588,7.766989265208242,8.44606991079176
Disturber,115,6,33.333333333333336,Office,4,19.82316648,19.704527151660958,19.941805808339044,0.38848781000000004,0.3799969314812454,0.3969786885187547,9.504506636,9.090425079340607,9.918588192659394
Disturber,115,6,33.333333333333336,Office,5,20.07534618000002,19.971960571715293,20.17873178828475,0.40457072200000044,0.39775001476433347,0.4113914292356674,7.50027088000001,7.083652337843705,7.9168894221563155
Disturber,115,10,20.0,City,0,24.492633957999992,24.424895124117082,24.5603727918829,0.7692525460000004,0.7650719624266761,0.7734331295733247,31.634596364,30.50009223382676,32.769100494173244
Disturber,115,10,20.0,City,1,25.094609462000015,24.980029061100844,25.209189862899187,0.8039935479999993,0.7989453317470421,0.8090417642529566,34.81143351799999,33.68484548739603,35.93802154860394
Disturber,115,10,20.0,City,2,24.421169704,24.328745452982414,24.513593955017587,0.7586197480000005,0.7530782809450499,0.7641612150549512,31.424236008000015,30.292145354428172,32.55632666157186
Disturber,115,10,20.0,City,3,24.55793650199999,24.473783847941856,24.642089156058123,0.7716480499999999,0.7669057748550588,0.776390325144941,30.337504594000027,29.287907762303146,31.38710142569691
Disturber,115,10,20.0,City,4,24.912165417999997,24.828509246273697,24.995821589726297,0.795742414,0.791993712624826,0.799491115375174,33.689918416,32.58533397431478,34.79450285768522
Disturber,115,10,20.0,City,5,24.34178995000001,24.271329370871292,24.412250529128727,0.7833022720000004,0.7802371725417726,0.7863673714582281,28.984450104000008,27.977583094544933,29.991317113455082
Disturber,115,10,20.0,Gallery,0,16.457112391999996,16.36747639016775,16.546748393832242,0.27862752200000007,0.2746042389213812,0.28265080507861895,8.730886871999997,8.35442950117836,9.107344242821634
Disturber,115,10,20.0,Gallery,1,17.083882639999988,16.984391287165483,17.183373992834493,0.30933956999999984,0.3042462909560695,0.3144328490439302,8.483464768000006,8.122029959673863,8.84489957632615
Disturber,115,10,20.0,Gallery,2,16.515157890000005,16.421047520679096,16.609268259320913,0.2660823519999999,0.2601704393175168,0.271994264682483,6.828775655999989,6.460685474775598,7.1968658372243794
Disturber,115,10,20.0,Gallery,3,16.84679224400002,16.739613333843767,16.953971154156275,0.3095814460000001,0.30405923235024035,0.31510365964975984,8.762396891999995,8.337641463332046,9.187152320667943
Disturber,115,10,20.0,Gallery,4,16.715362146000018,16.620044491110097,16.81067980088994,0.2934649840000001,0.28816902970494473,0.29876093829505546,6.844570547999991,6.550512498241655,7.138628597758327
Disturber,115,10,20.0,Gallery,5,17.3447286,17.2246342025262,17.4648229974738,0.3279290859999994,0.32197210466988213,0.3338860673301167,8.686117351999993,8.302662832904298,9.069571871095688
Disturber,115,10,20.0,Nature,0,17.979893962000006,17.857173831640242,18.10261409235977,0.3490581739999998,0.34553721286674155,0.352579135133258,8.047608883999995,7.770016027412941,8.32520174058705
Disturber,115,10,20.0,Nature,1,17.76709084399998,17.66426373021901,17.869917957780952,0.3416484160000005,0.33794738874418856,0.34534944325581246,8.707744130000005,8.369813096860868,9.045675163139142
Disturber,115,10,20.0,Nature,2,18.346847576000012,18.233681394460625,18.4600137575394,0.3531020440000001,0.3494201755995051,0.3567839124004951,8.655587636000003,8.35166206068556,8.959513211314446
Disturber,115,10,20.0,Nature,3,16.911942904000004,16.777306868368473,17.046578939631534,0.2990755259999999,0.29625010195540746,0.3019009500445924,8.03294271,7.789447477597461,8.27643794240254
Disturber,115,10,20.0,Nature,4,18.084108498,17.976280551871184,18.191936444128814,0.34522550000000013,0.3421808024414146,0.3482701975585857,7.907748831999999,7.634592280635457,8.180905383364541
Disturber,115,10,20.0,Nature,5,18.620657749999992,18.51727617783339,18.724039322166593,0.35039343599999995,0.34699802769481203,0.35378884430518787,8.324011422000009,8.06046287334196,8.587559970658058
Disturber,115,10,20.0,Office,0,17.416485314,17.336962136585292,17.496008491414706,0.2534824640000001,0.24861152752115692,0.25835340047884325,8.060133618000002,7.8474878905597825,8.27277934544022
Disturber,115,10,20.0,Office,1,17.979597907999985,17.884542105458763,18.074653710541206,0.2916563280000001,0.2868205915354836,0.29649206446451654,8.113635034,7.798265483566279,8.42900458443372
Disturber,115,10,20.0,Office,2,19.15665084599999,19.067095802696617,19.246205889303365,0.3805741300000004,0.37494254761613494,0.38620571238386586,4.521022509999995,4.28909350381257,4.752951516187421
Disturber,115,10,20.0,Office,3,18.656180034000013,18.55928720629594,18.753072861704084,0.3330637180000002,0.32685510412576874,0.3392723318742316,7.577965114000001,7.2687785309609705,7.887151697039032
Disturber,115,10,20.0,Office,4,19.211370459999998,19.105420068752174,19.31732085124782,0.3470559959999999,0.3404553522765587,0.35365663972344114,8.657566759999998,8.267123015309512,9.048010504690485
Disturber,115,10,20.0,Office,5,19.595668941999996,19.482869064844163,19.70846881915583,0.3751360900000002,0.3687112891700883,0.3815608908299121,6.494878672000003,6.146631580999472,6.843125763000534
Disturber,115,30,6.666666666666667,City,0,23.326180211999993,23.24438930966113,23.407971114338856,0.7021189719999997,0.6971381763383642,0.7070997676616353,14.151366537999992,13.183873019835069,15.118860056164916
